The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) modules/2.3-20240529   2) openblas/single-0.3.26
🚀 Starting Run. All outputs will be saved to: training_outputs/20250728-180254
⚙️ Using device: cuda
Hyperparameters: {'input_depth': 64, 'input_height': 64, 'input_width': 64, 'num_classes': 4, 'learning_rate': 1e-05, 'batch_size': 16, 'num_epochs': 300, 'num_input_channels': 3, 'max_samples_per_class': 216}

Loading datasets...
Dataset loaded with 684 total samples:
  - mitotic: 216 samples
  - new_daughter: 216 samples
  - stable: 216 samples
  - death: 36 samples
  Applied per-class limit: 216 samples/class
Dataset loaded with 684 total samples:
  - mitotic: 216 samples
  - new_daughter: 216 samples
  - stable: 216 samples
  - death: 36 samples
  Applied per-class limit: 216 samples/class

Training on 547 samples, validating on 137 samples.
Model has 71,012 trainable parameters.

--- Starting Training ---
Epoch [001/300] | Duration: 54.31s | Train Loss: 1.3491 | Train Acc: 0.3199 | Val Loss: 1.3156 | Val Acc: 0.4307 | Val F1: 0.2636
🎉 New best model found! F1-Score: 0.2636. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [002/300] | Duration: 26.72s | Train Loss: 1.3183 | Train Acc: 0.4314 | Val Loss: 1.2529 | Val Acc: 0.5109 | Val F1: 0.3568
🎉 New best model found! F1-Score: 0.3568. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [003/300] | Duration: 27.60s | Train Loss: 1.2773 | Train Acc: 0.5082 | Val Loss: 1.2334 | Val Acc: 0.5693 | Val F1: 0.4763
🎉 New best model found! F1-Score: 0.4763. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [004/300] | Duration: 27.36s | Train Loss: 1.2603 | Train Acc: 0.5484 | Val Loss: 1.2202 | Val Acc: 0.5839 | Val F1: 0.4900
🎉 New best model found! F1-Score: 0.4900. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [005/300] | Duration: 27.10s | Train Loss: 1.2373 | Train Acc: 0.5466 | Val Loss: 1.2009 | Val Acc: 0.5912 | Val F1: 0.4608
Epoch [006/300] | Duration: 27.51s | Train Loss: 1.2091 | Train Acc: 0.5704 | Val Loss: 1.1893 | Val Acc: 0.5839 | Val F1: 0.4595
Epoch [007/300] | Duration: 27.58s | Train Loss: 1.1903 | Train Acc: 0.5594 | Val Loss: 1.1755 | Val Acc: 0.5912 | Val F1: 0.4604
Epoch [008/300] | Duration: 26.91s | Train Loss: 1.1979 | Train Acc: 0.5759 | Val Loss: 1.1626 | Val Acc: 0.5766 | Val F1: 0.4470
Epoch [009/300] | Duration: 27.22s | Train Loss: 1.1650 | Train Acc: 0.5631 | Val Loss: 1.1549 | Val Acc: 0.5839 | Val F1: 0.4534
Epoch [010/300] | Duration: 27.42s | Train Loss: 1.1542 | Train Acc: 0.5887 | Val Loss: 1.1446 | Val Acc: 0.5839 | Val F1: 0.4517
Epoch [011/300] | Duration: 27.18s | Train Loss: 1.1415 | Train Acc: 0.5832 | Val Loss: 1.1345 | Val Acc: 0.5839 | Val F1: 0.4528
Epoch [012/300] | Duration: 26.77s | Train Loss: 1.1390 | Train Acc: 0.5832 | Val Loss: 1.1281 | Val Acc: 0.5839 | Val F1: 0.4498
Epoch [013/300] | Duration: 25.82s | Train Loss: 1.1582 | Train Acc: 0.5466 | Val Loss: 1.1232 | Val Acc: 0.5912 | Val F1: 0.4543
Epoch [014/300] | Duration: 25.05s | Train Loss: 1.1427 | Train Acc: 0.5649 | Val Loss: 1.1179 | Val Acc: 0.5620 | Val F1: 0.4339
Epoch [015/300] | Duration: 24.46s | Train Loss: 1.1350 | Train Acc: 0.5759 | Val Loss: 1.1144 | Val Acc: 0.5912 | Val F1: 0.4547
Epoch [016/300] | Duration: 25.16s | Train Loss: 1.1219 | Train Acc: 0.5759 | Val Loss: 1.1120 | Val Acc: 0.5985 | Val F1: 0.4637
Epoch [017/300] | Duration: 25.66s | Train Loss: 1.1118 | Train Acc: 0.5814 | Val Loss: 1.1072 | Val Acc: 0.5547 | Val F1: 0.4261
Epoch [018/300] | Duration: 25.06s | Train Loss: 1.1246 | Train Acc: 0.5594 | Val Loss: 1.0976 | Val Acc: 0.5839 | Val F1: 0.4483
Epoch [019/300] | Duration: 25.13s | Train Loss: 1.0946 | Train Acc: 0.5923 | Val Loss: 1.0990 | Val Acc: 0.6204 | Val F1: 0.4776
Epoch [020/300] | Duration: 25.26s | Train Loss: 1.1020 | Train Acc: 0.5960 | Val Loss: 1.0934 | Val Acc: 0.6131 | Val F1: 0.4732
Epoch [021/300] | Duration: 25.29s | Train Loss: 1.1105 | Train Acc: 0.6088 | Val Loss: 1.0915 | Val Acc: 0.5839 | Val F1: 0.4494
Epoch [022/300] | Duration: 27.90s | Train Loss: 1.0908 | Train Acc: 0.5941 | Val Loss: 1.0894 | Val Acc: 0.6058 | Val F1: 0.4661
